rsvp_limit      ,status          ,visibility      ,maybe_rsvp_count,venue_id       ,venue_zip      ,venue_lon      ,venue_name     ,venue_state    ,venue_address_1,venue_lat      ,venue_city     ,venue_country  ,id              ,utc_offset      ,duration        ,time            ,waitlist_count  ,updated         ,created         ,yes_rsvp_count  ,event_url       ,description,how_to_find_us  ,name            ,headcount       ,rating_count  ,rating_average,group_id       ,group_group_lat,group_name     ,group_group_lon,group_join_mode,group_urlname  ,group_who      
50,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,27740321,-14400000,7200001,1314311400000,0,1314682181000,1312156486000,49,http:\/\/www.meetup.com\/Data-Science-DC\/events\/27740321\/,"<p>We're going to kickoff the DC Data Science Meetup by joining our friends over at the R Users DC Group on August 25th for a presentation by John Myles White on some tricks for solving machine learning problems with more than a few predictors.&nbsp;John is a Ph.D. student and is currently working on a new O'Reilly book called \Machine Learning for Hackers\"".<\/p>\n<p>We're still working to finalize a location, but are committed to hosting the meetup near a Metro station in Downtown DC. Things will kickoff at 6",Suite 1102 - someone will be downstairs to open the door,Kickoff -- Regularization Regression,100,12,4.5,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
65,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,33054232,-14400000,7200002,1317076200000,0,1319583493000,1315703729000,65,http:\/\/www.meetup.com\/Data-Science-DC\/events\/33054232\/,"<p>Harlan Harris, co-founder of the Data Science DC Meetup, veteran of the NYC Machine Learning community and bona fide Data Scientist will untangle the ways in which people use the term Data Science and lead a discussion following his presentation.<\/p>\n<p>As the tech community and even the media catch on to the sophisticated ways in which people use data, the term \data science\"" has emerged as a catch-all. But as with any new buzz word it's worth unpacking just what the reality is. Join us on September 26th to hear and see how people are using the term and even offer your own take!<\/p>\n<p>We'll start at 6",,"Presentation\/Discussion: \What the heck is Data Science, anyway?\""""",35,11,4.64,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
70,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,37103942,-14400000,7200003,1319581800000,3,1322608943000,1318426708000,70,http:\/\/www.meetup.com\/Data-Science-DC\/events\/37103942\/,"<p>For our next Meetup, John Dennison will be discussing Logic Regression, a 10-year-old technique that blends aspects of decision trees with linear regression.<\/p>\n<p>Socializing starts at 6:30, and the presentation at 7:00!<\/p>\n<p>&nbsp;<\/p>\n<p>Blurb:<\/p>\n<p>With an absolute blur of possible machine learning techniques out there, it can be difficult to know even where to start. I hope to share some thoughts useful to settle upon an approach. That is, what are the questions that you ask yourself when settling on a specific technique? Using some of these ideas, we will be exploring tools for learning with binary predictors. This will include an introduction to Logic Regression, simulated annealing and an ensemble technique implemented in R called LogicForest.<\/p>\n<p>Bio:<\/p>\n<p>John Dennison is a Data Product Developer for AcuStream LLC, a healthcare software start-up in McLean, VA. While reletively new to the machine learning world, he has taken the dive into nerdy world of data science and is not looking back. He is also despises thinly titled talks.<\/p>",,If a Tree Falls in a LogicForest... An Introduction to Logic Regression,40,8,4.38,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
70,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,39933182,-18000000,7200004,1322609400000,0,1332690765000,1320414607000,65,http:\/\/www.meetup.com\/Data-Science-DC\/events\/39933182\/,"<p>One of the more difficult tasks for people who build analytics models is communicating with others about their work and why they should care. For this Meetup, we're going to talk about \Selling Data Science Projects and Results to People with Budgets\"", whether those people are executives in your company, or granting agencies, or higher-ups in government. A panel of data science experts with a range of experiences will start off with 5-minute presentations about an attempt to sell a data science project that went either particularly well or particularly poorly. We'll then transition to a panel and Q&amp;A discussion.<\/p>\n<p>Our panel will be",,Panel Discussion on Selling Data Science Projects and Results,40,6,4.5,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
90,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,43638302,-18000000,7200005,1324510200000,0,1332690747000,1323217656000,83,http:\/\/www.meetup.com\/Data-Science-DC\/events\/43638302\/,"<p>For our next Meetup, we're pleased to have Elena Zheleva presenting an introduction to two fundamental methods used in data analysis and prediction. And to celebrate the holiday season, and with thanks to our sponsors, we'll be serving egg nog along with tasty eats and even tastier data science! <br \/>\n\n <br \/>\n\n<\/p>\n<p>Consider the problem of separating spam email from non-spam email, or predicting which leads will become customers, or any other classification problem. Logistic Regression is a classical method from Statistics used to model the probability that data is in one of two categories. Naive Bayes is a very similar Machine Learning algorithm for categorization with independent predictors. Any Data Scientist should have a solid understanding of these two foundational methods, what they do, how they differ, and how to use them.<\/p>\n<p>Elena Zheleva earned her PhD this year from the Computer Science Department at the University of Maryland, College Park. Her dissertation explored new methods for classification in social networks which consider both friendship links and social groups of users, as well as models for evolving social networks and groups, and the application of machine learning algorithms to privacy issues in social networks. She currently works in the Data Science group at LivingSocial in Washington, DC.<\/p>\n<p>&nbsp;<\/p>\n<p>Finally, to help us predict turnout at our events, we ask you to only RSVP \Yes\"" if there's at least a 50% likelihood that you will attend! (Frequentists, please do the best you can.) <br \/>\n\n <br \/>\n\n <br \/>\n\n <br \/>\n\n <br \/>\n\n <br \/>\n\n <br \/>\n\n <br \/>\n\n<\/p>""",,Data Science Classroom: Naive Bayes and Logistic Regression,60,15,4.6,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
90,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,45226242,-18000000,7200006,1327536000000,0,1329785571000,1324566517000,83,http:\/\/www.meetup.com\/Data-Science-DC\/events\/45226242\/,"<p>For the January Meetup, we're pleased to have Sean Murphy lead a discussion of this new paper:<\/p>\n<p><a href=\http",,Presentation\/Discussion: Maximal Information Coefficient,55,11,4.82,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
103,past,public,0,3084621,20036,-77.038155,HelloWallet,DC,1101 17th Street Northwest,38.904011,Washington D.C.,us,50169542,-18000000,7200007,1329780600000,0,1332246770000,1327891311000,97,http:\/\/www.meetup.com\/Data-Science-DC\/events\/50169542\/,<p>Join us on February 20 at 6:30pm for a lively discussion about data privacy given by <a href=\http,,Big Data: Fuel for Innovation and Progress or Pollution of the Information Age?,45,9,4.11,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
100,past,public,0,6032062,22030,-77.306374,George Mason University,VA,Dept. of Computer Science,38.846222,Fairfax,us,55076962,-14400000,7200008,1332244800000,0,1332893441000,1330974320000,65,http:\/\/www.meetup.com\/Data-Science-DC\/events\/55076962\/,"<p>We're pleased to announce that John Myles White will be in town on Tuesday, March 20th, for a full-day <a href=\http",,Seminar on Bayesian Inference (full day event!),80,14,4.57,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
120,past,public,0,4175942,20036,-77.044189,SRA Touchstone Consulting Group,DC,1920 N St NW # 600,38.907227,Washington D.C.,us,48644692,-14400000,7200009,1332889200000,0,1335827138000,1326917010000,119,http:\/\/www.meetup.com\/Data-Science-DC\/events\/48644692\/,"<p>We're very pleased to have Dr. Abhijit Dasgupta, statistical consultant at NIH and other local businesses, &nbsp;and machine learning researcher, present our second Data Science Classroom event! Clustering (Unsupervised Learning) is a foundational Statistics and Machine Learning task, used to identify and visualize structure and commonalities in unlabeled data. &nbsp;<\/p>\n<p>At 6:30pm, mingling, food and drink.<\/p>\n<p>At 7:00pm, after the usual introduction, Abhijit will give a mostly-introductory talk, talking about when clustering is and isn't useful, methods for determining the number of clusters, scalability of different approaches, and related issues.<\/p>\n<p>At 8:30pm or so, we will find a bar for Data Drinks.<\/p>\n<p>&nbsp;<\/p>\n<p>So that we can best plan for this event, please do not RSVP \Yes\"" unless you would be willing to bet us even odds that you will actually attend.<\/p>""",There will be someone at the door to let you in -- the space is on the 6th floor.,Data Science Classroom: Clustering,70,19,4.74,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
160,past,public,0,4175942,20036,-77.044189,SRA Touchstone Consulting Group,DC,1920 N St NW # 600,38.907227,Washington D.C.,us,56623962,-14400000,7200010,1335825000000,14,1336092249000,1331920016000,160,http:\/\/www.meetup.com\/Data-Science-DC\/events\/56623962\/,"<p>For our April Meetup, we are very happy to have <a href=\http",,Information Visualization for Knowledge Discovery,90,28,5,2215331,38.90999984741211,Data Science DC,-77.0199966430664,open,Data-Science-DC,Data Scientists
